Name,Research unit(s),URL,Research
Joshua B. Guild,History,https://collaborate.princeton.edu/en/persons/joshua-b-guild,History
Faruk R. Gul,Economics,https://collaborate.princeton.edu/en/persons/faruk-r-gul,Economics
Saad Ahmad Gulzar,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/saad-ahmad-gulzar,Princeton School of Public and International Affairs
Aarti Gupta,Computer Science,https://collaborate.princeton.edu/en/persons/aarti-gupta,Computer Science
Mikko Petteri Haataja,"Mechanical & Aerospace Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/mikko-petteri-haataja,"Mechanical Aerospace Engineering, Princeton Materials Institute"
Jurgen Hackl,Civil & Environmental Engineering,https://collaborate.princeton.edu/en/persons/jurgen-hackl,Civil Environmental Engineering
Frederick D. Haldane,"Physics, Princeton Center for Theoretical Science, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/frederick-d-haldane,"Physics, Princeton Center Theoretical Science, Princeton Materials Institute"
Hans P. Halvorson,Philosophy,https://collaborate.princeton.edu/en/persons/hans-p-halvorson,Philosophy
Judith Hamera,Lewis Center for the Arts,https://collaborate.princeton.edu/en/persons/judith-hamera,Lewis Center Arts
Tod G. Hamilton,Sociology,https://collaborate.princeton.edu/en/persons/tod-g-hamilton,Sociology
Sharon Hammes-Schiffer,Chemistry,https://collaborate.princeton.edu/en/persons/sharon-hammes-schiffer,Chemistry
Boris Hanin,Operations Research & Financial Engineering,https://collaborate.princeton.edu/en/persons/boris-hanin,Operations Research Financial Engineering
M. Sukru Hanioglu,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/m-sukru-hanioglu,Near Eastern Studies
Jonathan Hanselman,Mathematics,https://collaborate.princeton.edu/en/persons/jonathan-hanselman,Mathematics
Lara Harb,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/lara-harb,Near Eastern Studies
Thomas William Hare,Comparative Literature,https://collaborate.princeton.edu/en/persons/thomas-william-hare,Comparative Literature
Elizabeth Harman,Philosophy,https://collaborate.princeton.edu/en/persons/elizabeth-harman,Philosophy
M. Zahid Hasan,"Physics, Keller Center for Innovation in Engineering Education, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/m-zahid-hasan,"Physics, Keller Center Innovation in Engineering Education, Princeton Materials Institute"
Uri Hasson,"Psychology, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/uri-hasson,"Psychology, Princeton Neuroscience Institute"
Kelsey Bridget Hatzell,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/kelsey-bridget-hatzell,Mechanical Aerospace Engineering
Johannes Haubold,Classics,https://collaborate.princeton.edu/en/persons/johannes-haubold,Classics
Bernard A. Haykel,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/bernard-a-haykel,Near Eastern Studies
Elad Hazan,"Computer Science, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/elad-hazan,"Computer Science, Center Statistics Machine Learning"
Lili He,Mathematics,https://collaborate.princeton.edu/en/persons/lili-he,Mathematics
Michael H. Hecht,"Chemistry, Molecular Biology",https://collaborate.princeton.edu/en/persons/michael-h-hecht,"Chemistry, Molecular Biology"
Lars O. Hedin,"Ecology & Evolutionary Biology, Civil & Environmental Engineering, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/lars-o-hedin,"Ecology Evolutionary Biology, Civil Environmental Engineering, High Meadows Environmental Institute"
Felix Heide,Computer Science,https://collaborate.princeton.edu/en/persons/felix-heide,Computer Science
Shahram Hejazi,Keller Center for Innovation in Engineering Education,https://collaborate.princeton.edu/en/persons/shahram-hejazi,Keller Center Innovation in Engineering Education
Isaac M. Held,Atmospheric & Oceanic Sciences,https://collaborate.princeton.edu/en/persons/isaac-m-held,Atmospheric Oceanic Sciences
Wendy Heller,Music,https://collaborate.princeton.edu/en/persons/wendy-heller,Music
Daniel Heller-Roazen,Comparative Literature,https://collaborate.princeton.edu/en/persons/daniel-heller-roazen,Comparative Literature
Grace Elizabeth Helton,Philosophy,https://collaborate.princeton.edu/en/persons/grace-elizabeth-helton,Philosophy
Aleksandar Hemon,Lewis Center for the Arts,https://collaborate.princeton.edu/en/persons/aleksandar-hemon,Lewis Center Arts
Peter Henderson,Computer Science,https://collaborate.princeton.edu/en/persons/peter-henderson,Computer Science
Arun Hendi,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/arun-hendi,Princeton School of Public and International Affairs
Brian Eugenio Herrera,Lewis Center for the Arts,https://collaborate.princeton.edu/en/persons/brian-eugenio-herrera,Lewis Center Arts
John Andrew Higgins,"Geosciences, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/john-andrew-higgins,"Geosciences, High Meadows Environmental Institute"
Kate Ho,Economics,https://collaborate.princeton.edu/en/persons/kate-ho,Economics
Desmond P. Hogan,Philosophy,https://collaborate.princeton.edu/en/persons/desmond-p-hogan,Philosophy
Brooke A. Holmes,Classics,https://collaborate.princeton.edu/en/persons/brooke-a-holmes,Classics
Samuel Holzman,Art and Archaeology,https://collaborate.princeton.edu/en/persons/samuel-holzman,Art and Archaeology
Bo E. Honore,"Economics, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/bo-e-honore,"Economics, Center Statistics Machine Learning"
Andrew Addison Houck,"Electrical and Computer Engineering, Keller Center for Innovation in Engineering Education, Princeton Center for Theoretical Science, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/andrew-addison-houck,"Electrical and Computer Engineering, Keller Center Innovation in Engineering Education, Princeton Center Theoretical Science, Princeton Materials Institute"
Tatiana Katarzyna Howard,Mathematics,https://collaborate.princeton.edu/en/persons/tatiana-katarzyna-howard,Mathematics
Allan Hsiao,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/allan-hsiao,Princeton School of Public and International Affairs
Daisy Yan Huang,Center for Statistics & Machine Learning,https://collaborate.princeton.edu/en/persons/daisy-yan-huang,Center Statistics Machine Learning
Emma Hubert,Operations Research & Financial Engineering,https://collaborate.princeton.edu/en/persons/emma-hubert,Operations Research Financial Engineering
Monica Huerta,English,https://collaborate.princeton.edu/en/persons/monica-huerta,English
Frederick McLaury Hughson,"Molecular Biology, Chemistry",https://collaborate.princeton.edu/en/persons/frederick-mclaury-hughson,"Molecular Biology, Chemistry"
June E Huh,Mathematics,https://collaborate.princeton.edu/en/persons/june-e-huh,Mathematics
Marcus Nils Hultmark,"Mechanical & Aerospace Engineering, Civil & Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/marcus-nils-hultmark,"Mechanical Aerospace Engineering, Civil Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute"
Tera W. Hunter,History,https://collaborate.princeton.edu/en/persons/tera-w-hunter,History
David A. Huse,"Physics, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/david-a-huse,"Physics, Princeton Materials Institute"
Todd Kurt Hyster,Chemistry,https://collaborate.princeton.edu/en/persons/todd-kurt-hyster,Chemistry
Matias Iaryczower,Politics,https://collaborate.princeton.edu/en/persons/matias-iaryczower,Politics
Caio Ibsen Rodrigues de Almeida,Economics,https://collaborate.princeton.edu/en/persons/caio-ibsen-rodrigues-de-almeida,Economics
G. John Ikenberry,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/g-john-ikenberry,Princeton School of Public and International Affairs
Alexandru D. Ionescu,Mathematics,https://collaborate.princeton.edu/en/persons/alexandru-d-ionescu,Mathematics
Razia Iqbal,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/razia-iqbal,Princeton School of Public and International Affairs
Alison Ellen Isenberg,History,https://collaborate.princeton.edu/en/persons/alison-ellen-isenberg,History
William M. Jacobs,Chemistry,https://collaborate.princeton.edu/en/persons/william-m-jacobs,Chemistry
Gregory B. Jaczko,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/gregory-b-jaczko,Princeton School of Public and International Affairs
Peter R. Jaffe,"Civil & Environmental Engineering, Andlinger Center for Energy & the Environment, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/peter-r-jaffe,"Civil Environmental Engineering, Andlinger Center Energy Environment, High Meadows Environmental Institute, Princeton Materials Institute"
Harold James,History,https://collaborate.princeton.edu/en/persons/harold-james,History
Kyle Andrew Jamieson,Computer Science,https://collaborate.princeton.edu/en/persons/kyle-andrew-jamieson,Computer Science
Seema Jayachandran,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/seema-jayachandran,Princeton School of Public and International Affairs
Jesse D. Jenkins,"Mechanical & Aerospace Engineering, Andlinger Center for Energy & the Environment",https://collaborate.princeton.edu/en/persons/jesse-d-jenkins,"Mechanical Aerospace Engineering, Andlinger Center Energy Environment"
Jennifer L. Jennings,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/jennifer-l-jennings,Princeton School of Public and International Affairs
Niraj Kumar Jha,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/niraj-kumar-jha,Electrical and Computer Engineering
Hantao Ji,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/hantao-ji,Astrophysical Sciences
John Jimah,Molecular Biology,https://collaborate.princeton.edu/en/persons/john-jimah,Molecular Biology
Chi Jin,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/chi-jin,Electrical and Computer Engineering
Nathalie Joachim,Music,https://collaborate.princeton.edu/en/persons/nathalie-joachim,Music
Claudia L. Johnson,English,https://collaborate.princeton.edu/en/persons/claudia-l-johnson,English
Mark Johnston,Philosophy,https://collaborate.princeton.edu/en/persons/mark-johnston,Philosophy
Matthew Laurence Jones,History,https://collaborate.princeton.edu/en/persons/matthew-laurence-jones,History
William Claude Jones,Physics,https://collaborate.princeton.edu/en/persons/william-claude-jones,Physics
Martin C. Jonikas,Molecular Biology,https://collaborate.princeton.edu/en/persons/martin-c-jonikas,Molecular Biology
William Chester Jordan,History,https://collaborate.princeton.edu/en/persons/william-chester-jordan,History
Jerelle Aurelia Joseph,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/jerelle-aurelia-joseph,Chemical Biological Engineering
Yiguang Ju,"Mechanical & Aerospace Engineering, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/yiguang-ju,"Mechanical Aerospace Engineering, High Meadows Environmental Institute"
Gleason Judd,Politics,https://collaborate.princeton.edu/en/persons/gleason-judd,Politics
Justin Anthony Junge,Psychology,https://collaborate.princeton.edu/en/persons/justin-anthony-junge,Psychology
Antoine Kahn,"Electrical and Computer Engineering, Princeton Institute for Computational Science and Engineering, Princeton Materials Institute, School of Engineering & Applied Science",https://collaborate.princeton.edu/en/persons/antoine-kahn,"Electrical and Computer Engineering, Princeton Institute Computational Science and Engineering, Princeton Materials Institute, School of Engineering Applied Science"
Laura Kalin,Council of the Humanities,https://collaborate.princeton.edu/en/persons/laura-kalin,Council of Humanities
Ilya Kaminsky,Lewis Center for the Arts,https://collaborate.princeton.edu/en/persons/ilya-kaminsky,Lewis Center Arts
Yibin Kang,"Molecular Biology, Princeton Branch of the Ludwig Institute for Cancer Research",https://collaborate.princeton.edu/en/persons/yibin-kang,"Molecular Biology, Princeton Branch of Ludwig Institute Cancer Research"
Alan Kaplan,Computer Science,https://collaborate.princeton.edu/en/persons/alan-kaplan,Computer Science
Adam Kapor,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/adam-kapor,Princeton School of Public and International Affairs
Matthew Jason Karp,History,https://collaborate.princeton.edu/en/persons/matthew-jason-karp,History
John Kastellec,Politics,https://collaborate.princeton.edu/en/persons/john-kastellec,Politics
Jakub Kastl,"Economics, Bendheim Center for Finance",https://collaborate.princeton.edu/en/persons/jakub-kastl,"Economics, Bendheim Center Finance"
Sabine Kastner,"Psychology, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/sabine-kastner,"Psychology, Princeton Neuroscience Institute"
Nicholas Michael Katz,Mathematics,https://collaborate.princeton.edu/en/persons/nicholas-michael-katz,Mathematics
Stanley Nider Katz,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/stanley-nider-katz,Princeton School of Public and International Affairs
Thomas DaCosta Kaufmann,Art and Archaeology,https://collaborate.princeton.edu/en/persons/thomas-dacosta-kaufmann,Art and Archaeology
Casey Lynn Kelleher,Mathematics,https://collaborate.princeton.edu/en/persons/casey-lynn-kelleher,Mathematics
Michael T. Kelly,Chemistry,https://collaborate.princeton.edu/en/persons/michael-t-kelly,Chemistry
Peter Kelly,Classics,https://collaborate.princeton.edu/en/persons/peter-kelly,Classics
Thomas P. Kelly,Philosophy,https://collaborate.princeton.edu/en/persons/thomas-p-kelly,Philosophy
Martin Kern,East Asian Studies,https://collaborate.princeton.edu/en/persons/martin-kern,East Asian Studies
Brian W. Kernighan,"Computer Science, Center for Information Technology Policy",https://collaborate.princeton.edu/en/persons/brian-w-kernighan,"Computer Science, Center Information Technology Policy"
Anna Arabindan Kesson,Art and Archaeology,https://collaborate.princeton.edu/en/persons/anna-arabindan-kesson,Art and Archaeology
Paize Keulemans,East Asian Studies,https://collaborate.princeton.edu/en/persons/paize-keulemans,East Asian Studies
Shamus Rahman Khan,Sociology,https://collaborate.princeton.edu/en/persons/shamus-rahman-khan,Sociology
Zachary Kincaid,Computer Science,https://collaborate.princeton.edu/en/persons/zachary-kincaid,Computer Science
Ryan Scott Kingsbury,Civil & Environmental Engineering,https://collaborate.princeton.edu/en/persons/ryan-scott-kingsbury,Civil Environmental Engineering
Patricia A. Kirkland,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/patricia-a-kirkland,Princeton School of Public and International Affairs
Beatrice Ellen Kitzinger,Art and Archaeology,https://collaborate.princeton.edu/en/persons/beatrice-ellen-kitzinger,Art and Archaeology
Nobuhiro Kiyotaki,"Economics, Bendheim Center for Finance",https://collaborate.princeton.edu/en/persons/nobuhiro-kiyotaki,"Economics, Bendheim Center Finance"
Sergiu Klainerman,Mathematics,https://collaborate.princeton.edu/en/persons/sergiu-klainerman,Mathematics
Igor R. Klebanov,"Physics, Princeton Center for Theoretical Science",https://collaborate.princeton.edu/en/persons/igor-r-klebanov,"Physics, Princeton Center Theoretical Science"
Ralph Elliot Kleiner,"Chemistry, Molecular Biology",https://collaborate.princeton.edu/en/persons/ralph-elliot-kleiner,"Chemistry, Molecular Biology"
Henrik Jacobsen Kleven,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/henrik-jacobsen-kleven,Princeton School of Public and International Affairs
Jason Matthew Klusowski,Operations Research & Financial Engineering,https://collaborate.princeton.edu/en/persons/jason-matthew-klusowski,Operations Research Financial Engineering
Boris C. Kment,Philosophy,https://collaborate.princeton.edu/en/persons/boris-c-kment,Philosophy
Robert Randolph Knowles,"Chemistry, Keller Center for Innovation in Engineering Education",https://collaborate.princeton.edu/en/persons/robert-randolph-knowles,"Chemistry, Keller Center Innovation in Engineering Education"
Sarah D. Kocher,Ecology & Evolutionary Biology,https://collaborate.princeton.edu/en/persons/sarah-d-kocher,Ecology Evolutionary Biology
Bruce E. Koel,"Chemical & Biological Engineering, Chemistry, High Meadows Environmental Institute, Mechanical & Aerospace Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/bruce-e-koel,"Chemical Biological Engineering, Chemistry, High Meadows Environmental Institute, Mechanical Aerospace Engineering, Princeton Materials Institute"
Atul Kohli,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/atul-kohli,Princeton School of Public and International Affairs
Gillat Kol,Computer Science,https://collaborate.princeton.edu/en/persons/gillat-kol,Computer Science
Egemen Kolemen,"Mechanical & Aerospace Engineering, Andlinger Center for Energy & the Environment",https://collaborate.princeton.edu/en/persons/egemen-kolemen,"Mechanical Aerospace Engineering, Andlinger Center Energy Environment"
Michal Kolesar,Economics,https://collaborate.princeton.edu/en/persons/michal-kolesar,Economics
Janos Kollar,Mathematics,https://collaborate.princeton.edu/en/persons/janos-kollar,Mathematics
Michael Koortbojian,Art and Archaeology,https://collaborate.princeton.edu/en/persons/michael-koortbojian,Art and Archaeology
Yedidah Koren,Religion,https://collaborate.princeton.edu/en/persons/yedidah-koren,Religion
Alexei V. Korennykh,Molecular Biology,https://collaborate.princeton.edu/en/persons/alexei-v-korennykh,Molecular Biology
Alain Lucien Kornhauser,Operations Research & Financial Engineering,https://collaborate.princeton.edu/en/persons/alain-lucien-kornhauser,Operations Research Financial Engineering
Aleksandra Korolova,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/aleksandra-korolova,Princeton School of Public and International Affairs
Andrej Kosmrlj,"Mechanical & Aerospace Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/andrej-kosmrlj,"Mechanical Aerospace Engineering, Princeton Materials Institute"
Pravesh Kumar Kothari,Computer Science,https://collaborate.princeton.edu/en/persons/pravesh-kumar-kothari,Computer Science
Joshua Isaac Kotin,English,https://collaborate.princeton.edu/en/persons/joshua-isaac-kotin,English
Mirjam Engert Kotwick,Classics,https://collaborate.princeton.edu/en/persons/mirjam-engert-kotwick,Classics
Dmitry Krachun,Mathematics,https://collaborate.princeton.edu/en/persons/dmitry-krachun,Mathematics
Eve Krakowski,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/eve-krakowski,Near Eastern Studies
Emmanuel H. P. M. Kreike,History,https://collaborate.princeton.edu/en/persons/emmanuel-h-p-m-kreike,History
Fenna Krienen,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/fenna-krienen,Princeton Neuroscience Institute
Kevin Michael Kruse,History,https://collaborate.princeton.edu/en/persons/kevin-michael-kruse,History
Christopher Brian Kuenne,Keller Center for Innovation in Engineering Education,https://collaborate.princeton.edu/en/persons/christopher-brian-kuenne,Keller Center Innovation in Engineering Education
Sanjeev Ramesh Kulkarni,"Electrical and Computer Engineering, Operations Research & Financial Engineering, Center for Information Technology Policy",https://collaborate.princeton.edu/en/persons/sanjeev-ramesh-kulkarni,"Electrical and Computer Engineering, Operations Research Financial Engineering, Center Information Technology Policy"
Sun-Yuan Kung,"Electrical and Computer Engineering, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/sun-yuan-kung,"Electrical and Computer Engineering, Center Statistics Machine Learning"
Alice Kunin,Chemistry,https://collaborate.princeton.edu/en/persons/alice-kunin,Chemistry
Matthew Walter Kunz,"Astrophysical Sciences, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/matthew-walter-kunz,"Astrophysical Sciences, Princeton Institute Computational Science and Engineering"
Daniel C. Kurtzer,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/daniel-c-kurtzer,Princeton School of Public and International Affairs
Ilyana Kuziemko,Economics,https://collaborate.princeton.edu/en/persons/ilyana-kuziemko,Economics
German Labrador Mendez,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/german-labrador-mendez,Spanish Portuguese
Michael F. Laffan,History,https://collaborate.princeton.edu/en/persons/michael-f-laffan,History
Joel Benjamin Lande,German,https://collaborate.princeton.edu/en/persons/joel-benjamin-lande,German
Melissa Lane,Politics,https://collaborate.princeton.edu/en/persons/melissa-lane,Politics
David Lange,Physics,https://collaborate.princeton.edu/en/persons/david-lange,Physics
Eric David Larson,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/eric-david-larson,Chemical Biological Engineering
Satyel Larson,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/satyel-larson,Near Eastern Studies
Ngar-Cheung Lau,Atmospheric & Oceanic Sciences,https://collaborate.princeton.edu/en/persons/ngar-cheung-lau,Atmospheric Oceanic Sciences
Chung King Law,"Mechanical & Aerospace Engineering, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/chung-king-law,"Mechanical Aerospace Engineering, High Meadows Environmental Institute, Princeton Materials Institute"
Deana Lawson,Lewis Center for the Arts,https://collaborate.princeton.edu/en/persons/deana-lawson,Lewis Center Arts
Christina H. Lee,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/christina-h-lee,Spanish Portuguese
David S. Lee,"Princeton School of Public and International Affairs, Economics",https://collaborate.princeton.edu/en/persons/david-s-lee-2,"Princeton School of Public and International Affairs, Economics"
Frances Elida Lee,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/frances-elida-lee,Princeton School of Public and International Affairs
Jason Dean Lee,"Electrical and Computer Engineering, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/jason-dean-lee,"Electrical and Computer Engineering, Center Statistics Machine Learning"
Andrew Michael Leifer,Physics,https://collaborate.princeton.edu/en/persons/andrew-michael-leifer,Physics
