Name,Research unit(s),URL
Bernard Chazelle,"Computer Science, Mathematics",https://collaborate.princeton.edu/en/persons/bernard-chazelle
Danqi Chen,Computer Science,https://collaborate.princeton.edu/en/persons/danqi-chen
Janet Y. Chen,History,https://collaborate.princeton.edu/en/persons/janet-y-chen
Minjie Chen,"Electrical and Computer Engineering, Andlinger Center for Energy & the Environment",https://collaborate.princeton.edu/en/persons/minjie-chen
Anne Cheng,English,https://collaborate.princeton.edu/en/persons/anne-cheng
Katie Chenoweth,French & Italian,https://collaborate.princeton.edu/en/persons/katie-chenoweth
Divya Cherian,History,https://collaborate.princeton.edu/en/persons/divya-cherian
Lawrence W. Cheuk,Physics,https://collaborate.princeton.edu/en/persons/lawrence-w-cheuk
Caroline Cheung,Classics,https://collaborate.princeton.edu/en/persons/caroline-cheung
Andrew Chignell,Religion,https://collaborate.princeton.edu/en/persons/andrew-chignell
Paul J. Chirik,Chemistry,https://collaborate.princeton.edu/en/persons/paul-j-chirik
Ksenia Chizhova,East Asian Studies,https://collaborate.princeton.edu/en/persons/ksenia-chizhova
Carolyn Choi,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/carolyn-choi
Stephen Y. Chou,"Electrical and Computer Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/stephen-y-chou
Edgar Yazid Choueiri,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/edgar-yazid-choueiri
Heather Christie,Molecular Biology,https://collaborate.princeton.edu/en/persons/heather-christie
Maria Chudnovsky,Mathematics,https://collaborate.princeton.edu/en/persons/maria-chudnovsky
Steven Chung,East Asian Studies,https://collaborate.princeton.edu/en/persons/steven-chung
Christopher F. Chyba,"Princeton School of Public and International Affairs, Astrophysical Sciences",https://collaborate.princeton.edu/en/persons/christopher-f-chyba
Gabriel Maurice Alexander Citron,Religion,https://collaborate.princeton.edu/en/persons/gabriel-maurice-alexander-citron
Corey Clapp,Chemistry,https://collaborate.princeton.edu/en/persons/corey-clapp
Catherine Clune-Taylor,Gender & Sexuality Studies Pgm,https://collaborate.princeton.edu/en/persons/catherine-clune-taylor
Fernando Coda Marques,Mathematics,https://collaborate.princeton.edu/en/persons/fernando-coda-marques
Daniel Joseph Cohen,"Mechanical & Aerospace Engineering, Chemical & Biological Engineering, Molecular Biology, Princeton Branch of the Ludwig Institute for Cancer Research, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/daniel-joseph-cohen
